Datetime	hanle_cloud%	merak_cloud%	Hanle pblh merra	Merak pblh merra
2018-02-16 20:25:00	99.671	98.2	0.865	0.76
2018-02-17 05:50:00	20.548	90.684	2.863	2.446
2018-02-17 07:30:00	33.143	86.96	2.817	2.254
2018-02-17 16:50:00	31.146	-99.9	2.535	2.565
2018-02-17 16:55:00	-99.9	49.804	2.535	2.565
2018-02-17 21:10:00	17.021	41.462	0.871	0.832
2018-02-18 04:55:00	10.057	50.222	2.342	2.215
2018-02-18 08:10:00	36.916	76.878	2.786	2.93
2018-02-18 17:35:00	14.476	70.167	1.319	1.398
2018-02-18 20:15:00	14.78	50.836	0.8	1.364
2018-02-19 05:40:00	5.657	27.84	2.348	2.647
2018-02-19 07:15:00	8.0	33.25	2.484	2.442
2018-02-19 16:40:00	63.506	21.467	0.398	0.24
2018-02-19 20:55:00	27.444	19.692	0.057	0.056
2018-02-20 04:45:00	0.4	-99.9	1.426	1.189
2018-02-20 06:20:00	2.364	20.833	2.392	1.983
2018-02-20 08:00:00	2.824	20.16	2.416	2.035
2018-02-20 17:25:00	32.381	29.867	0.671	0.507
2018-02-20 20:00:00	30.842	56.5	0.248	0.302
2018-02-21 05:25:00	1.714	31.447	1.892	1.796
2018-02-21 08:40:00	94.581	93.857	2.922	2.621
2018-02-21 16:30:00	49.355	35.032	0.665	0.715
2018-02-21 20:45:00	36.404	28.99	0.608	0.462
2018-02-22 06:10:00	3.474	32.195	1.801	1.587
2018-02-22 07:45:00	53.714	47.385	1.997	1.745
2018-02-22 19:50:00	98.462	-99.9	0.617	1.073
2018-02-22 21:25:00	-99.9	86.857	0.785	0.816
2018-02-22 21:30:00	63.304	-99.9	0.785	0.816
2018-02-23 05:15:00	4.611	34.769	2.239	2.189
2018-02-23 08:30:00	10.326	37.333	2.258	1.839
2018-02-23 16:15:00	90.051	49.778	0.436	0.814
2018-02-23 20:30:00	-99.9	100.0	0.306	0.181
2018-02-23 20:35:00	95.72	100.0	0.306	0.181
2018-02-24 05:55:00	79.467	99.619	1.904	2.209
2018-02-24 07:35:00	67.312	91.475	2.193	2.253
2018-02-24 17:00:00	53.875	90.147	0.368	1.159
2018-02-24 21:15:00	39.667	99.077	0.838	0.887
2018-02-25 05:00:00	26.273	93.405	1.996	2.0
2018-02-25 08:15:00	88.471	72.845	2.737	2.299
2018-02-25 16:05:00	21.5	55.833	0.36	0.597
2018-02-25 17:40:00	62.0	62.0	0.236	0.425
2018-02-25 20:20:00	24.778	51.463	0.057	0.076
2018-02-26 05:45:00	1.798	23.696	1.273	0.759
2018-02-26 07:20:00	1.86	29.333	1.66	1.326
2018-02-26 16:45:00	66.68	90.98	0.181	0.432
2018-02-26 21:05:00	44.339	78.0	0.058	0.088
2018-02-27 04:50:00	69.167	99.31	0.962	0.667
2018-02-27 06:25:00	-99.9	100.0	1.656	1.371
2018-02-27 06:30:00	-99.9	100.0	1.656	1.371
2018-02-27 08:05:00	66.75	92.907	1.618	1.49
2018-02-27 17:30:00	36.516	85.371	0.977	1.099
2018-02-27 20:10:00	72.546	71.091	0.615	1.222
2018-02-28 05:35:00	49.5	93.56	1.817	1.785
2018-02-28 07:10:00	98.333	98.923	1.978	2.117
2018-02-28 08:50:00	-99.9	100.0	1.995	2.146
2018-02-28 16:35:00	60.779	66.24	1.526	0.922
2018-02-28 20:50:00	70.364	59.652	0.116	0.605
2018-03-01 06:15:00	94.839	99.273	1.976	1.981
2018-03-01 07:50:00	88.515	100.0	2.244	2.142
2018-03-01 07:55:00	-99.9	97.45	2.244	2.142
2018-03-01 17:15:00	46.148	95.93	0.336	0.562
2018-03-01 19:55:00	67.758	90.833	0.338	0.755
2018-03-01 21:35:00	-99.9	100.0	0.147	0.763
2018-03-02 05:20:00	45.5	83.48	1.692	1.418
2018-03-02 08:35:00	66.514	94.171	2.285	2.337
2018-03-02 16:20:00	32.327	99.674	1.459	1.248
2018-03-02 20:40:00	60.0	99.176	1.493	1.364
2018-03-03 06:05:00	98.0	100.0	2.881	2.885
2018-03-03 07:40:00	100.0	100.0	2.626	2.564
2018-03-03 17:05:00	99.855	100.0	0.804	0.954
2018-03-03 21:20:00	96.429	100.0	0.798	0.946
2018-03-04 05:10:00	87.439	95.849	1.598	1.582
2018-03-04 08:25:00	91.111	86.37	1.868	1.7
2018-03-04 16:10:00	100.0	100.0	0.889	1.151
2018-03-04 20:25:00	99.535	74.37	0.772	0.989
2018-03-05 05:50:00	67.243	92.95	1.974	2.002
2018-03-05 07:30:00	90.939	86.041	2.513	2.389
2018-03-05 16:50:00	92.588	-99.9	0.792	0.585
2018-03-05 16:55:00	-99.9	100.0	0.792	0.585
2018-03-05 21:10:00	32.0	60.784	0.335	0.341
2018-03-06 04:55:00	11.657	47.886	2.141	1.782
2018-03-06 08:10:00	14.699	36.667	2.412	1.948
2018-03-06 17:35:00	18.956	42.167	1.099	0.824
2018-03-06 20:15:00	18.386	28.96	0.951	0.607
2018-03-07 05:40:00	5.28	32.317	1.774	1.532
2018-03-07 07:15:00	10.323	58.625	2.189	2.004
2018-03-07 16:40:00	63.604	48.889	0.774	0.318
2018-03-07 20:55:00	35.784	49.846	0.63	0.218
2018-03-08 04:45:00	4.0	-99.9	1.55	1.154
2018-03-08 06:20:00	6.909	39.167	2.26	2.029
2018-03-08 08:00:00	52.039	55.366	2.539	2.3
2018-03-08 17:25:00	48.0	60.286	1.087	1.498
