year	month	hanle_pblh	merak_pblh
2006	4	1.2945727	1.301459
2006	5	1.2568786	1.3836545
2006	6	1.1104032	1.4258873
2006	7	0.8897113	1.3530674
2006	8	0.8367341	0.84279704
2006	9	0.9718836	1.072098
2006	10	1.0511633	1.1276915
2006	11	0.92552984	0.96852964
2006	12	0.39393637	0.5881901
2007	1	0.6269807	0.44121546
2007	2	0.81121325	0.8559562
2007	3	0.4270891	0.47603342
2007	4	1.023601	1.2340895
2007	5	1.228092	1.42012
2007	6	1.3273921	1.4859042
2007	7	1.2578957	1.5729884
2007	8	0.9769598	1.3846629
2007	9	1.1359079	1.2400309
2007	10	1.0069916	1.2294979
2007	11	0.86448437	0.8449012
2007	12	0.9098745	1.0931121
2008	1	0.92430484	1.0770327
2008	2	0.7846764	0.8229592
2008	3	1.2319248	1.1289923
2008	4	1.6633614	1.7814674
2008	5	1.0727001	1.2561412
2008	6	0.87207484	1.2501578
2008	7	0.88778716	1.3504323
2008	8	0.9381751	1.0670501
2008	9	0.91716677	1.0740095
2008	10	0.7613504	0.9268364
2008	11	0.9209681	1.0148537
2008	12	0.63166434	0.6653937
2009	1	0.6512674	0.46975765
2009	2	1.1747541	1.2047789
2009	3	1.3319916	1.2475674
2009	4	1.4690096	1.5680676
2009	5	1.4717255	1.657728
2009	6	1.3932858	1.5824881
2009	7	1.2632376	1.4880809
2009	8	1.0016987	1.4391208
2009	9	0.874799	1.1267427
2009	10	1.0732789	1.2888058
2009	11	0.7902311	0.7823571
2009	12	0.7195025	0.57415044
2010	1	0.44136208	0.5517345
2010	2	0.67160255	0.6044839
2010	3	0.3770068	0.4879578
2010	4	1.1042895	1.2188824
2010	5	1.3015628	1.3453755
2010	6	1.0863162	1.1049657
2010	7	0.928073	1.0920438
2010	8	0.71262324	0.78675264
2010	9	0.97613263	1.0752351
2010	10	1.0436021	1.1484501
2010	11	0.88426065	0.91585064
2010	12	0.58211887	0.59452754
2011	1	0.52873385	0.40204567
2011	2	0.67480534	0.917423
2011	3	0.5558027	0.91004133
2011	4	0.83021355	1.0274382
2011	5	0.89541036	1.0744008
2011	6	1.0353892	1.2817156
2011	7	1.0704794	1.3584116
2011	8	0.80980605	1.094352
2011	9	0.85894614	1.0012988
2011	10	1.0737811	1.1852835
2011	11	0.67840546	0.6347372
2011	12	0.77472067	0.7867657
2012	1	0.7527138	0.8059585
2012	2	1.2460184	1.3012725
2012	3	0.88831073	1.0264761
2012	4	0.9675587	1.1711351
2012	5	1.3742709	1.4738475
2012	6	1.3869298	1.2584352
2012	7	1.3562698	1.474884
2012	8	1.067456	1.2151095
2012	9	1.005586	1.0910434
2012	10	1.154032	1.2203302
2012	11	0.9543233	0.98888624
2012	12	0.57063377	0.5047062
2013	1	0.6243458	0.60391736
2013	2	0.5272744	0.6543807
2013	3	0.65078753	0.5688224
2013	4	1.0670506	1.2032871
2013	5	1.2866311	1.2415526
2013	6	0.7236757	0.9672031
2013	7	1.0324112	1.3452706
2013	8	0.8979028	0.945078
2013	9	0.99544203	1.0790992
2013	10	0.87438506	0.90853643
2013	11	0.6048846	0.69571877
2013	12	0.79635686	0.8596175
2014	1	0.42993695	0.4768608
2014	2	0.8529282	0.9902746
2014	3	0.9670544	0.8648999
2014	4	1.0980145	1.0222702
2014	5	1.2465622	1.0803868
2014	6	1.1397967	1.3392619
2014	7	0.8691145	1.2337335
2014	8	1.0864985	1.3484412
2014	9	1.1186763	1.1812861
2014	10	1.0831623	1.1664392
2014	11	0.6179455	0.7149412
2014	12	0.49599874	0.47070262
2015	1	0.4554323	0.5282485
2015	2	0.4400149	0.56385136
2015	3	0.4319616	0.5082623
2015	4	0.6358101	0.33482614
2015	5	1.1224179	1.031092
2015	6	1.0893131	1.0876671
2015	7	0.80572754	0.8217715
2015	8	0.8762344	0.89890695
2015	9	0.9991626	1.0067308
2015	10	0.95223445	0.9228799
2015	11	0.7294357	0.7796661
2015	12	0.5008428	0.5010727
2016	1	0.3842228	0.41512078
2016	2	0.4080701	0.51769775
2016	3	0.48709074	0.59721476
2016	4	0.80256623	0.6991779
2016	5	1.213403	1.2203289
2016	6	1.1627096	1.0543307
2016	7	1.1229984	1.3307238
2016	8	0.90841305	0.9612655
2016	9	1.0475739	1.1006083
2016	10	1.0387512	1.1325748
2016	11	0.8119915	0.83944446
2016	12	0.4610931	0.4710654
2017	1	0.6061558	0.64021283
2017	2	0.6360414	0.8502957
2017	3	0.76236373	0.8106766
2017	4	0.45295972	0.44353488
2017	5	0.80661905	0.64439255
2017	6	1.0868013	0.9872759
2017	7	0.9367671	0.9674257
2017	8	0.94760126	1.1057734
2017	9	0.9155978	1.023675
2017	10	0.9426959	1.0403169
2017	11	0.78334427	0.8080454
2017	12	0.48373386	0.5925478
2018	1	0.4367979	0.58676714
2018	2	0.5269799	0.6881854
2018	3	0.4960661	0.5827064
2018	4	0.876809	0.7418012
2018	5	1.2458999	1.2994152
2018	6	1.3337123	1.3285762
2018	7	1.0506537	1.0217608
2018	8	0.81457156	0.855807
2018	9	0.84295684	0.7550925
2018	10	0.9740846	0.9810484
2018	11	0.6161971	0.6832474
2018	12	0.4495918	0.42075673
2019	1	0.009473389	0.009608642
