date	hanle_pblh_avg	merak_pblh_avg	hanle_pblh_median	merak_pblh_median
1984-08-06	2.1887953	3.0481117	2.6516125	2.9065714
1984-08-07	2.0720158	3.1487715	2.2416978	3.1788101
1984-08-08	1.7773068	3.003022	1.7859945	3.0999403
1984-08-09	1.3591241	2.0207648	1.5149982	2.4116693
1984-08-10	1.3475405	1.8277785	1.39761	1.9978905
1984-08-11	0.8928864	1.044141	0.89284444	1.0721176
1984-08-12	0.6886425	0.7344021	0.6928185	0.822158
1984-08-13	0.601682	0.6311274	0.60879576	0.64460546
1984-08-14	0.64644235	0.5861229	0.6944553	0.59617823
1984-08-15	0.7649848	1.1234996	0.8122633	1.2672296
1984-08-16	0.72473615	1.083002	0.7604311	1.1631047
1984-08-17	1.6789935	1.3868309	1.6883737	1.4467804
1984-08-18	1.7459557	1.5936141	2.0498137	1.8189349
1984-08-19	1.9022497	2.2942576	2.2358222	2.2187257
1984-08-20	1.7206062	1.5969093	1.9731779	1.8454232
1984-08-21	1.3342782	1.3586632	1.4008837	1.5866201
1984-08-22	0.72211313	1.1807706	0.75942385	1.342613
1984-08-23	0.67376435	1.0559821	0.68270385	1.1293883
1984-08-24	1.0005589	1.173734	0.9968865	1.2662517
1984-08-25	0.7775756	0.9555136	0.8315692	1.1092776
1984-08-26	0.86988723	0.9047054	0.9016161	1.0019639
1984-08-27	0.2437672	0.73083067	0.26926357	0.8153552
1984-08-28	0.5375318	0.5593156	0.63414526	0.6020031
1984-08-29	0.55186427	0.62270904	0.5949458	0.720754
1984-08-30	1.0229914	1.2659754	1.3320539	1.5811353
1984-08-31	1.7672342	1.8737397	2.1510859	2.2878163
1984-09-01	1.2654275	1.1435679	1.3561442	1.1952903
1984-09-02	1.0808673	0.9658879	1.2116017	1.0287073
1984-09-03	1.0036646	1.3097045	1.0439341	1.3341944
1984-09-04	1.571615	1.8083481	1.7531744	1.7486112
1984-09-05	1.6093664	1.7557752	1.7979977	1.8896412
1984-09-06	1.6898006	2.1170666	1.7368064	2.066811
1984-09-07	1.8010405	1.5402973	1.8529356	1.6352599
1984-09-08	1.9170228	1.7211237	2.049436	1.9208064
1984-09-09	1.5484478	1.463341	1.8301463	1.6641717
1984-09-10	1.5059329	1.3415074	1.8197379	1.5759482
1984-09-11	1.4505752	1.3637228	1.6911436	1.6199112
1984-09-12	1.3680426	1.4210361	1.5621299	1.6263738
1984-09-13	1.3752403	1.6088566	1.4421394	1.638236
1984-09-14	1.5379345	1.7704438	1.6863172	1.8269706
1984-09-15	1.4939296	1.67833	1.6430049	1.756732
1984-09-16	1.6206561	1.9314995	1.668816	1.8941905
1984-09-17	1.5517005	1.7050308	1.7055812	1.8124721
1984-09-18	1.5074018	1.1392524	1.5176843	1.1594906
1984-09-19	1.718172	1.845083	1.7912827	1.9138336
