year	month	han_pblh_avg	mer_pblh_avg	han_pblh_median	mer_pblh_median
1995	3	1.3660228	1.4331634	1.2645202	1.4014845
1995	4	1.4649023	1.5913593	1.2883022	1.4749246
1995	5	1.6204562	1.7323105	1.6253263	1.6394562
1995	6	1.4768504	1.6315348	1.4818332	1.5169148
1995	7	1.621407	1.6498562	1.5179391	1.5512002
1995	8	1.3250661	1.4767785	1.2187724	1.3410873
1995	9	1.3383632	1.5052346	1.3783836	1.4030704
1995	10	1.3667165	1.5050877	1.2237246	1.3900589
1995	11	1.359711	1.4392844	1.2224953	1.3655403
1995	12	1.3489385	1.4202873	1.2343583	1.4002645
1996	1	1.4750777	1.598608	1.4311045	1.6205465
1996	2	1.27174	1.3703803	1.1448867	1.2957821
1996	3	1.5257454	1.6276374	1.414199	1.603462
1996	4	1.5174384	1.5289893	1.4192901	1.4380393
1996	5	1.4913591	1.6695197	1.2675493	1.5013329
1996	6	1.6148692	1.6104314	1.6646458	1.5971432
1996	7	1.5304166	1.6480905	1.4805502	1.5302893
1996	8	1.3354232	1.4781588	1.2475938	1.4057682
1996	9	1.6111239	1.623543	1.6043997	1.5406406
1996	10	1.406666	1.5042695	1.2972145	1.395098
1996	11	1.4319395	1.64485	1.2670293	1.6710652
1996	12	1.1402731	1.225024	1.044441	1.1748571
1997	1	1.1914073	1.2399979	1.053233	1.1517227
1997	2	1.6714109	1.7612967	1.5389907	1.7410631
1997	3	1.5490229	1.6550455	1.4688699	1.6091794
1997	4	1.3819685	1.5509913	1.2391477	1.4604775
1997	5	1.5617846	1.7045705	1.4664292	1.6465569
1997	6	1.5826808	1.6646416	1.5177414	1.5550305
1997	7	1.6366547	1.6989992	1.5895993	1.6901913
1997	8	1.4679316	1.5862695	1.3989186	1.4368706
1997	9	1.4518907	1.5117971	1.4272094	1.2794195
1997	10	1.3593421	1.455315	1.1820635	1.2634859
1997	11	1.2024075	1.3646216	1.0537701	1.3019907
1997	12	0.9414463	1.2458079	0.84504485	1.1045272
1998	1	1.161236	1.4808694	1.1025603	1.4523293
1998	2	1.3702862	1.4158843	1.2852893	1.4087496
1998	3	1.4096948	1.5242225	1.3494492	1.4574568
1998	4	1.4593204	1.5521071	1.3480854	1.4260777
1998	5	1.5002275	1.616387	1.2837694	1.4089129
1998	6	1.3805507	1.6532365	1.2805743	1.5123198
1998	7	1.5210167	1.5784235	1.4819474	1.5093218
1998	8	1.3428969	1.5208433	1.250475	1.4021959
1998	9	1.3261808	1.4944333	1.1821828	1.2756431
1998	10	1.0743935	1.4450175	0.84191453	1.3007541
1998	11	1.0032039	1.1912869	0.71214986	1.0087252
1998	12	1.1378357	1.2629367	0.91903055	1.2110031
1999	1	1.3334748	1.419391	1.1987195	1.3757495
1999	2	1.3058361	1.3554404	1.2533296	1.2806597
1999	3	1.6892034	1.7664998	1.6338141	1.7554433
1999	4	1.6665657	1.8563802	1.6289215	1.8346913
1999	5	1.6092545	1.7086779	1.5060726	1.6478993
1999	6	1.6690471	1.7246237	1.7002425	1.7696676
1999	7	1.5288109	1.5758709	1.4365256	1.4779043
1999	8	1.4179624	1.5669595	1.273489	1.4725566
1999	9	1.4629862	1.5549246	1.5332665	1.5205362
1999	10	1.4007152	1.5207212	1.253871	1.38692
1999	11	1.1195426	1.299582	0.7636782	1.1102879
1999	12	1.1541221	1.2261453	0.97843456	1.12125
2000	1	1.4039406	1.4066734	1.3158991	1.3924239
2000	2	1.5038502	1.6245067	1.446065	1.6462023
2000	3	1.6145631	1.6546264	1.5223756	1.6435556
2000	4	1.6235135	1.7066182	1.4710841	1.6602135
2000	5	1.7590954	1.7505563	1.7247758	1.7831883
2000	6	1.6617534	1.712495	1.738753	1.748785
2000	7	1.3533276	1.4725083	1.2081376	1.3589315
2000	8	1.5127952	1.6766969	1.5166209	1.6500154
2000	9	1.517172	1.5783864	1.5293691	1.4536359
2000	10	1.270305	1.3745711	0.9380651	1.0892253
2000	11	1.2646793	1.4131154	0.9490216	1.2547736
2000	12	1.2501649	1.3552294	0.9924865	1.2366358
2001	1	1.6432587	1.7028612	1.5822406	1.7453254
2001	2	1.5351336	1.6325871	1.4510663	1.6118953
2001	3	1.5348783	1.5588934	1.4578737	1.4405266
2001	4	1.556985	1.632814	1.3805921	1.4419641
2001	5	1.7701708	1.7560079	1.7874506	1.6804273
2001	6	1.6720297	1.7275355	1.702612	1.6925898
2001	7	1.4110646	1.5008913	1.2824671	1.3855717
2001	8	1.3739599	1.5553195	1.2662394	1.463258
2001	9	1.2533897	1.4902258	1.0861664	1.3122882
2001	10	1.2844607	1.3606935	0.94660646	1.1311111
2001	11	1.1093466	1.1536707	0.82895714	0.99625164
2001	12	1.2087493	1.317173	1.0881582	1.2545661
2002	1	1.306943	1.2897629	1.1952903	1.1820086
2002	2	1.2368971	1.4188668	1.1166471	1.4034302
2002	3	1.284178	1.39706	1.1053787	1.2314684
2002	4	1.5974461	1.6762395	1.5570405	1.6289867
2002	5	1.7341605	1.7768738	1.6224858	1.6802657
2002	6	1.7185842	1.7505337	1.6495423	1.6695676
2002	7	1.4720379	1.6720016	1.4894376	1.740808
2002	8	1.3999071	1.5250871	1.3262286	1.4132496
2002	9	1.298497	1.6243639	1.2018449	1.4790864
2002	10	1.4779435	1.5967329	1.3941889	1.4294457
2002	11	1.3668147	1.3910484	1.2096746	1.2963936
2002	12	1.2896484	1.4794738	1.2100437	1.439749
2003	1	1.2132493	1.3537656	1.1343893	1.269386
2003	2	1.260818	1.4974056	1.1547157	1.4241853
2003	3	1.3688143	1.3107287	1.1466447	1.1560817
2003	4	1.5448829	1.570223	1.4363291	1.450215
2003	5	1.7691106	1.8311529	1.7503095	1.8483112
2003	6	1.7474121	1.8001397	1.7565656	1.7907337
2003	7	1.575647	1.6400895	1.6137011	1.5788851
2003	8	1.2893329	1.4856138	1.1087278	1.3171377
2003	9	1.3758297	1.5677058	1.366549	1.4620531
2003	10	1.3016553	1.4121695	1.1643009	1.1857326
2003	11	1.2683499	1.3840437	1.0052321	1.3188152
2003	12	1.1947895	1.2666365	1.1119174	1.1362133
2004	1	1.1882458	1.2067648	1.036073	1.0824698
2004	2	1.2006313	1.2638737	1.0271325	1.2022432
2004	3	1.6332068	1.6414282	1.6742754	1.6819425
2004	4	1.6548284	1.679436	1.5881717	1.5660467
2004	5	1.6996758	1.6953741	1.6751587	1.6904085
2004	6	1.7842505	1.7447448	1.858454	1.7264335
2004	7	1.6783226	1.8254685	1.7183189	1.8313537
2004	8	1.4244168	1.6822423	1.3523234	1.62689
2004	9	1.2582994	1.457389	1.1015799	1.364985
2004	10	1.4127586	1.5024849	1.3484027	1.3810437
2004	11	1.2333829	1.1543074	0.9461173	0.94700396
2004	12	1.3147883	1.485147	1.1276553	1.4541013
