year	month	hanle_pblh_era5_avg	merak_pblh_era5_avg	hanle_pblh_era5_median	merak_pblh_era5_median
1998	5	0.77259	0.77259	0.26663715	0.26663715
1998	6	0.70534694	0.70534694	0.31298798	0.31298798
1998	7	1.124845	1.124845	0.94319946	0.94319946
1998	8	1.0998288	1.0998288	0.6481216	0.6481216
1998	9	0.9128191	0.9128191	0.4821286	0.4821286
1998	10	0.5528183	0.5528183	0.051022217	0.051022217
1998	11	0.06803433	0.06803433	0.035283934	0.035283934
1998	12	0.13227926	0.13227926	0.04512805	0.04512805
1999	1	0.18184097	0.18184097	0.0655387	0.0655387
1999	2	0.19350971	0.19350971	0.066283874	0.066283874
1999	3	0.28024557	0.28024557	0.11478149	0.11478149
1999	4	0.35099122	0.35099122	0.09618127	0.09618127
1999	5	0.71715504	0.71715504	0.3288031	0.3288031
1999	6	1.0457188	1.0457188	0.8828446	0.8828446
1999	7	1.0716349	1.0716349	0.7905888	0.7905888
1999	8	0.73244774	0.73244774	0.36165148	0.36165148
1999	9	0.83075064	0.83075064	0.26152638	0.26152638
1999	10	0.98511416	0.98511416	0.23493762	0.23493762
1999	11	0.7737408	0.7737408	0.108730525	0.108730525
1999	12	0.61156446	0.61156446	0.0757926	0.0757926
2000	1	0.4641113	0.4641113	0.1003064	0.1003064
2000	2	0.33451498	0.33451498	0.07664014	0.07664014
2000	3	0.402424	0.402424	0.07983923	0.07983923
2000	4	0.62089485	0.62089485	0.13147156	0.13147156
2000	5	1.2679075	1.2679075	1.0530808	1.0530808
2000	6	0.77310634	0.77310634	0.30012828	0.30012828
2000	7	0.7250262	0.7250262	0.44824898	0.44824898
2000	8	0.84881616	0.84881616	0.41192394	0.41192394
2000	9	1.119604	1.119604	0.5547472	0.5547472
2000	10	1.15933	1.15933	0.45984137	0.45984137
2000	11	0.93335044	0.93335044	0.22978297	0.22978297
2000	12	0.3911419	0.3911419	0.07966711	0.07966711
2001	1	0.53162116	0.53162116	0.12917785	0.12917785
2001	2	0.5729172	0.5729172	0.13243799	0.13243799
2001	3	0.54923135	0.54923135	0.09505615	0.09505615
2001	4	0.5972909	0.5972909	0.1395376	0.1395376
2001	5	1.3002105	1.3002105	1.0803509	1.0803509
2001	6	1.2240942	1.2240942	1.1381263	1.1381263
2001	7	1.0025594	1.0025594	0.68367565	0.68367565
2001	8	1.0584065	1.0584065	0.6347388	0.6347388
2001	9	1.2571917	1.2571917	0.9350616	0.9350616
2001	10	1.1414164	1.1414164	0.5653722	0.5653722
2001	11	0.6492134	0.6492134	0.09020227	0.09020227
2001	12	0.40680608	0.40680608	0.09617895	0.09617895
2002	1	0.2495018	0.2495018	0.042071715	0.042071715
2002	2	0.3173996	0.3173996	0.082137085	0.082137085
2002	3	0.12634532	0.12634532	0.045606934	0.045606934
2002	4	0.47035575	0.47035575	0.119845584	0.119845584
2002	5	0.6856974	0.6856974	0.16207135	0.16207135
2002	6	1.1271583	1.1271583	0.97611594	0.97611594
2002	7	1.3071179	1.3071179	1.1432793	1.1432793
2002	8	0.7220322	0.7220322	0.38184148	0.38184148
2002	9	0.7720787	0.7720787	0.24161279	0.24161279
2002	10	0.7895461	0.7895461	0.1078653	0.1078653
2002	11	0.5620172	0.5620172	0.08076227	0.08076227
2002	12	0.59078205	0.59078205	0.11092353	0.11092353
2003	1	0.58171004	0.58171004	0.1040238	0.1040238
2003	2	0.31704098	0.31704098	0.10218567	0.10218567
2003	3	0.24552001	0.24552001	0.05977075	0.05977075
2003	4	0.24987848	0.24987848	0.07128491	0.07128491
2003	5	0.5379664	0.5379664	0.11109888	0.11109888
2003	6	0.90368223	0.90368223	0.48842883	0.48842883
2003	7	1.0857886	1.0857886	0.7980961	0.7980961
2003	8	1.0158914	1.0158914	0.62836695	0.62836695
2003	9	1.0745322	1.0745322	0.6029457	0.6029457
2003	10	1.1038622	1.1038622	0.45513505	0.45513505
