year	month	han_pblh	mer_pblh
2007	9	1.4777184	1.717683
2007	10	1.3314122	1.6239725
2007	11	1.3043581	1.3060702
2007	12	1.5240734	1.6284282
2008	1	1.5198497	1.650838
2008	2	1.6417595	1.5446659
2008	3	1.5623491	1.5547327
2008	4	1.5251124	1.6357322
2008	5	1.6275547	1.6686081
2008	6	1.7005136	1.7796688
2008	7	1.6131649	1.7333044
2008	8	1.4055043	1.6223989
2008	9	1.5695021	1.755385
2008	10	1.5742904	1.5823452
2008	11	1.3297564	1.4456441
2008	12	1.116528	1.1913371
2009	1	1.3499287	1.5281829
2009	2	1.6174126	1.5897228
2009	3	1.5128026	1.4843352
2009	4	1.5491688	1.6618487
2009	5	1.7140558	1.7680088
2009	6	1.5478519	1.7515653
2009	7	1.5281092	1.71414
2009	8	1.7127341	1.6844342
2009	9	1.4702572	1.6167152
2009	10	1.3591299	1.6642883
2009	11	1.2848574	1.3951473
2009	12	1.104733	1.211788
2010	1	1.0139546	1.1581308
2010	2	1.2754842	1.3498225
2010	3	1.4686394	1.473492
2010	4	1.5619926	1.6063414
2010	5	1.6474177	1.6435243
2010	6	1.6787542	1.6754168
2010	7	1.395125	1.539281
2010	8	1.2870567	1.424837
2010	9	1.1874802	1.478909
2010	10	1.5901383	1.590161
2010	11	1.270371	1.3082898
2010	12	1.232147	1.2873483
2011	1	1.2818799	1.3265259
2011	2	1.3006023	1.4188154
2011	3	1.5390767	1.5880908
2011	4	1.6935796	1.7153344
2011	5	1.8019285	1.8152655
2011	6	1.72758	1.742105
2011	7	1.4457626	1.6227659
2011	8	1.5011822	1.564662
2011	9	1.2449348	1.4336125
2011	10	1.3032184	1.4836833
2011	11	1.231123	1.447477
2011	12	1.3357025	1.5302643
2012	1	1.2982334	1.3508912
2012	2	1.6642873	1.7135348
2012	3	1.7408701	1.809972
2012	4	1.4954147	1.5878968
2012	5	1.5733509	1.6976656
2012	6	1.6225637	1.8224723
2012	7	1.631664	1.7818452
2012	8	1.3885905	1.5787528
2012	9	1.3952597	1.665912
2012	10	1.7634097	1.9018636
2012	11	1.5214921	1.5428547
2012	12	1.5714309	1.685998
2013	1	1.4462152	1.4101521
2013	2	1.2694708	1.3578365
2013	3	1.3476669	1.4347786
2013	4	1.6849638	1.7622238
2013	5	1.769262	1.8442919
2013	6	1.6957636	1.7705139
2013	7	1.6306052	1.7993149
2013	8	1.4042403	1.4986291
2013	9	1.569758	1.7943523
2013	10	1.5447433	1.6694189
2013	11	1.334553	1.5724705
2013	12	1.5645345	1.6518145
2014	1	1.2656884	1.3951237
2014	2	1.5528657	1.7030404
2014	3	1.3433801	1.5237617
2014	4	1.6616092	1.7040503
2014	5	1.6141201	1.7460891
2014	6	1.7271166	1.8273286
2014	7	1.565801	1.7721466
2014	8	1.55119	1.7697618
2014	9	1.5723791	1.6342523
2014	10	1.5775449	1.6284058
2014	11	1.3486917	1.4087079
2014	12	1.3930298	1.589319
2015	1	1.627307	1.7275017
2015	2	1.3751881	1.4336946
2015	3	1.3941212	1.3938739
2015	4	1.7670945	1.7602556
2015	5	1.7224451	1.751046
2015	6	1.6432753	1.7292199
2015	7	1.6646054	1.6725264
2015	8	1.4176109	1.5758461
2015	9	1.3199515	1.7166718
2015	10	1.6858944	1.6764784
2015	11	1.3875362	1.5076984
2015	12	1.3486017	1.3348159
2016	1	1.235692	1.0914977
2016	2	1.5206418	1.4771026
2016	3	1.370764	1.3020386
2016	4	1.5479425	1.4949198
2016	5	1.7468898	1.7085233
2016	6	1.6029769	1.6371012
2016	7	1.4850953	1.6471752
2016	8	1.2654607	1.4733882
2016	9	1.6386014	1.8128114
2016	10	1.6300806	1.7869935
2016	11	1.6505756	1.8540142
2016	12	1.486913	1.684922
2017	1	1.366225	1.3943865
2017	2	1.2304469	1.2761856
2017	3	1.3566046	1.3264095
2017	4	1.5442231	1.4093586
2017	5	1.5509809	1.5638905
2017	6	1.6464834	1.64568
2017	7	1.3855548	1.5289357
2017	8	1.2855048	1.534517
2017	9	1.2792671	1.6133802
2017	10	1.5271397	1.6870139
2017	11	1.4477376	1.5042421
2017	12	1.2334588	1.3461633
2018	1	1.4672973	1.644214
2018	2	1.3404416	1.3528428
2018	3	1.4185905	1.3587976
2018	4	1.6041478	1.661833
2018	5	1.5650076	1.6703058
2018	6	1.6349208	1.6680261
2018	7	1.2592213	1.5137831
2018	8	1.2655246	1.4947664
2018	9	1.2486746	1.4771855
2018	10	1.409193	1.6413293
2018	11	1.0302467	1.091605
2018	12	1.0792277	1.022396
