date	hanle_pblh_era5_avg	merak_pblh_era5_avg	hanle_pblh_era5_median	merak_pblh_era5_median
1995-03-03	0.14374292	0.14374292	0.06127313	0.06127313
1995-03-04	0.13369632	0.13369632	0.04464215	0.04464215
1995-03-05	0.15537265	0.15537265	0.04738281	0.04738281
1995-03-06	0.29570052	0.29570052	0.051680725	0.051680725
1995-03-07	0.18059944	0.18059944	0.03006671	0.03006671
1995-03-08	0.22379123	0.22379123	0.0429292	0.0429292
1995-03-09	0.44107628	0.44107628	0.075163454	0.075163454
1995-03-10	0.6090939	0.6090939	0.05407886	0.05407886
1995-03-11	0.49665827	0.49665827	0.059871703	0.059871703
1995-03-12	0.3223184	0.3223184	0.07463397	0.07463397
1995-03-13	0.18217482	0.18217482	0.05351825	0.05351825
1995-03-14	0.113953516	0.113953516	0.034426883	0.034426883
1995-03-15	0.20378888	0.20378888	0.07422913	0.07422913
1995-03-16	0.34449565	0.34449565	0.07902533	0.07902533
1995-03-17	0.20877454	0.20877454	0.04417505	0.04417505
1995-03-18	0.14010942	0.14010942	0.05370508	0.05370508
1995-03-19	0.310834	0.310834	0.060151976	0.060151976
1995-03-20	0.2218992	0.2218992	0.06986896	0.06986896
1995-03-21	0.13347572	0.13347572	0.06364007	0.06364007
1995-03-22	0.2033762	0.2033762	0.105965085	0.105965085
1995-03-23	0.3338028	0.3338028	0.13053778	0.13053778
1995-03-24	0.41634005	0.41634005	0.21282068	0.21282068
1995-03-25	0.579263	0.579263	0.33188483	0.33188483
1995-03-26	0.23574798	0.23574798	0.06619391	0.06619391
1995-03-27	0.22689524	0.22689524	0.06902802	0.06902802
1995-03-28	0.40336332	0.40336332	0.26121876	0.26121876
1995-03-29	0.700977	0.700977	0.12346808	0.12346808
1995-03-30	0.4910679	0.4910679	0.044268433	0.044268433
1995-03-31	0.58178306	0.58178306	0.14249714	0.14249714
1995-04-01	0.6038773	0.6038773	0.10169831	0.10169831
1995-04-02	0.5750741	0.5750741	0.07407342	0.07407342
1995-04-03	0.45712334	0.45712334	0.14458379	0.14458379
1995-04-04	0.7583679	0.7583679	0.14240369	0.14240369
